borough,median_rent,median_sale_price,median_wage,rent_to_income,years_to_buy,property_count,rank
Hounslow,3050.0,807000.0,37200.0,98.4,21.7,5167,1
Richmond upon Thames,3900.0,1162000.0,51200.0,91.4,22.7,8800,2
Westminster,4450.0,1146000.0,63500.0,84.1,18.0,38064,3
Haringey,2650.0,625000.0,38700.0,82.2,16.2,32083,4
Hackney,2800.0,646000.0,41200.0,81.6,15.7,18332,5
Brent,2500.0,643500.0,36800.0,81.5,17.5,4770,6
Camden,3500.0,825000.0,52400.0,80.2,15.7,10166,7
Bexley,2200.0,439500.0,34100.0,77.4,12.9,2548,8
Waltham Forest,2300.0,555000.0,36100.0,76.5,15.4,20783,9
Enfield,2200.0,578000.0,34600.0,76.3,16.7,2996,10
Kensington and Chelsea,4550.0,1195000.0,72300.0,75.5,16.5,12195,11
Newham,2150.0,463000.0,34200.0,75.4,13.5,12175,12
Hammersmith and Fulham,3400.0,841000.0,54100.0,75.4,15.55,7080,13
Barnet,2450.0,594000.0,40200.0,73.1,14.8,12299,14
Lambeth,2650.0,597000.0,43600.0,72.9,13.7,32390,15
Wandsworth,2950.0,730000.0,49200.0,72.0,14.8,24153,16
Redbridge,2050.0,530000.0,35600.0,69.1,14.9,3348,17
Greenwich,2050.0,456000.0,35800.0,68.7,12.7,30895,18
Southwark,2650.0,571000.0,46300.0,68.7,12.3,20332,19
Merton,2400.0,563000.0,42800.0,67.3,13.2,11978,20
Lewisham,2100.0,499000.0,37500.0,67.2,13.3,35588,21
Islington,2850.0,643000.0,51800.0,66.0,12.4,11105,22
Bromley,2100.0,402000.0,38500.0,65.5,10.4,3662,23
Croydon,1900.0,415000.0,36200.0,63.0,11.5,8848,24
Tower Hamlets,2400.0,505000.0,48700.0,59.1,10.4,8490,25
